Nombre_evento,mes,dia_inicio,dia_finalizacion,comunidad,municipio,macroregion,tipo-agenda,descripcion,tipo_evento,abierto/cerrado,foto
Día Internacional del Derecho a la Verdad en relación con Violaciones Graves de los Derechos Humanos y de la Dignidad de las Víctimas,marzo,24,24,,,,Agenda cultural WLH,,Conmemorativas,,
Día internacional de Solidaridad con los miembros del personal detenidos o desaparecidos,marzo,25,25,,,,,,Conmemorativas,,
Conmemoración del mes de la mujer ,marzo ,26,26,Borrachera y La Bonga,El Bagre,Bajo Cauca y Nordeste Antioqueño,Agenda cultural WLH,Encuentro de las mujeres de las comunidades de la Borrachera y La Bonga para realizar una juntanza y diálogo sobre el liderazgo femenino. Se compartirá una olla comunitaria. ,Culturales y recreativas,abierto,"WhatsApp Image 2022-03-27 at 9_14_49 AM (3).jpeg (https://dl.airtable.com/.attachments/705381b85f91647979f1c1afd49e7b81/0b0a9197/WhatsAppImage2022-03-27at9_14_49AM3.jpeg),WhatsApp Image 2022-03-27 at 9_14_50 AM.jpeg (https://dl.airtable.com/.attachments/4f3972fc35f7573f9dbdc8df0a5b65ad/918137b1/WhatsAppImage2022-03-27at9_14_50AM.jpeg),WhatsApp Image 2022-03-27 at 9_14_43 AM (1).jpeg (https://dl.airtable.com/.attachments/36df4d799563c46764895c0b9b4c80d1/387fc408/WhatsAppImage2022-03-27at9_14_43AM1.jpeg),WhatsApp Image 2022-03-27 at 9_14_49 AM (2).jpeg (https://dl.airtable.com/.attachments/d5337aad14f3290ee188a4a9eaf2e0e9/eee42671/WhatsAppImage2022-03-27at9_14_49AM2.jpeg),WhatsApp Image 2022-03-27 at 9_14_43 AM.jpeg (https://dl.airtable.com/.attachments/b43d370246e6d9bd787a3f5a30fbd9df/03c9d237/WhatsAppImage2022-03-27at9_14_43AM.jpeg),WhatsApp Image 2022-03-27 at 9_14_45 AM (3).jpeg (https://dl.airtable.com/.attachments/d2c8c005bdb86a05e6ba4254830ba90e/4c8f9cf9/WhatsAppImage2022-03-27at9_14_45AM3.jpeg),WhatsApp Image 2022-03-27 at 9_14_46 AM (3).jpeg (https://dl.airtable.com/.attachments/067c38e7ab2c0001acd8451c27e781fe/ce06c175/WhatsAppImage2022-03-27at9_14_46AM3.jpeg),WhatsApp Image 2022-03-27 at 9_14_46 AM (1).jpeg (https://dl.airtable.com/.attachments/b3d3f79c147e020c6149a3235e963554/50519b22/WhatsAppImage2022-03-27at9_14_46AM1.jpeg),WhatsApp Image 2022-03-27 at 9_14_47 AM.jpeg (https://dl.airtable.com/.attachments/edfc8490865a7d44cacc89f085a61fe8/07fed680/WhatsAppImage2022-03-27at9_14_47AM.jpeg),WhatsApp Image 2022-03-27 at 9_14_46 AM.jpeg (https://dl.airtable.com/.attachments/972b7c3bd79396cc11f5b0e0849b4459/798437f2/WhatsAppImage2022-03-27at9_14_46AM.jpeg),WhatsApp Image 2022-03-27 at 9_14_44 AM.jpeg (https://dl.airtable.com/.attachments/103b8da297f99556fbea396c1b65ee4b/d2d6decd/WhatsAppImage2022-03-27at9_14_44AM.jpeg),WhatsApp Image 2022-03-27 at 9_14_47 AM (4).jpeg (https://dl.airtable.com/.attachments/653cc47c8ad5d6ae57a05f6b3f30c05f/e17563e4/WhatsAppImage2022-03-27at9_14_47AM4.jpeg),WhatsApp Image 2022-03-27 at 9_14_46 AM (2).jpeg (https://dl.airtable.com/.attachments/56372555f873a8cc1bee158f1ca2a5d9/54c6cee4/WhatsAppImage2022-03-27at9_14_46AM2.jpeg),WhatsApp Image 2022-03-27 at 9_14_48 AM.jpeg (https://dl.airtable.com/.attachments/7d8f394157be14888f516ec2f77e6a3c/7db5469e/WhatsAppImage2022-03-27at9_14_48AM.jpeg),WhatsApp Image 2022-03-27 at 9_14_49 AM (1).jpeg (https://dl.airtable.com/.attachments/05a66a82d9bf061d02ed54147c26c955/d97e4a08/WhatsAppImage2022-03-27at9_14_49AM1.jpeg)"
TALLER DE INSPIRACIÓN SOLE + WLH,marzo ,28,28,Punta Soldado,Buenaventura,Cauca y Valle del Cauca,,Los talleres de inspiración SOLE son talleres para aquellos quienes deseen ser embajadores en una de las comunidades focalizadas de WLH. Ellos durante este espacio recibirán el entrenamiento para poder ser embajadores y aSOLEAR su comunidad a través de la metodología de autoaprendizaje.,,cerrado,"WhatsApp Image 2022-03-30 at 11_01_00 AM (1).jpeg (https://dl.airtable.com/.attachments/e52c2570baf86c1b45d253247869b8de/a86d94f5/WhatsAppImage2022-03-30at11_01_00AM1.jpeg),WhatsApp Image 2022-03-30 at 11_01_00 AM.jpeg (https://dl.airtable.com/.attachments/3488451dcb275795bc5cc86c6d708a58/a6a65556/WhatsAppImage2022-03-30at11_01_00AM.jpeg),WhatsApp Image 2022-03-30 at 11_01_01 AM.jpeg (https://dl.airtable.com/.attachments/dc971b5b9dc4987f48cdb753ccd7b10d/c7be3aa0/WhatsAppImage2022-03-30at11_01_01AM.jpeg)"
Primer SOLE Punta Soldado,marzo ,29,29,Punta Soldado,Buenaventura,Cauca y Valle del Cauca,Agenda cultural WLH,Los SOLES son espacios abiertos a cualquier persona de la comunidad interesada en aprender a través de Grandes preguntas y el uso de Internet. Está a cargo de un embajador y cada sesión cuenta con un Capitán y una abuelita conectada remotamente. Puedes llevar algo de comer para compartir con los demás participantes. Bienvenidos.,,abierto,"WhatsApp Image 2022-03-30 at 11_01_01 AM (1).jpeg (https://dl.airtable.com/.attachments/4582a5e4ddce6ddcc00d0bcbf32037eb/bcc4904a/WhatsAppImage2022-03-30at11_01_01AM1.jpeg),WhatsApp Image 2022-03-30 at 11_01_00 AM (2).jpeg (https://dl.airtable.com/.attachments/6e83ceff193fae1d515ec898059213e7/6e7e284f/WhatsAppImage2022-03-30at11_01_00AM2.jpeg),WhatsApp Image 2022-03-30 at 11_01_00 AM (1) (1).jpeg (https://dl.airtable.com/.attachments/fe7590090a9c68a24b7aea81d7b28886/31bcebc1/WhatsAppImage2022-03-30at11_01_00AM11.jpeg)"
Conmemoración del mes de la mujer ,marzo ,30,30,Corregimiento San Pedro Consolado,San Juan Nepomuceno,Montes de María,Conmemoración internacional,"Se realizará una “velatón” que tiene como propósito visibilizar a las mujeres como sujetas políticas y de derechos. La jornada tendrá un recorrido desde la entrada del corregimiento hasta la cancha, allí se realizará una muestra de tejeduria tradicional.",Culturales y recreativas,abierto,"WhatsApp Image 2022-03-31 at 7_01_21 AM (1).jpeg (https://dl.airtable.com/.attachments/eaeddb5483afbf09084cde1c81f57f9e/aa5f797e/WhatsAppImage2022-03-31at7_01_21AM1.jpeg),WhatsApp Image 2022-03-31 at 7_01_21 AM (2).jpeg (https://dl.airtable.com/.attachments/8ca60629e0c5eee01ec5739b1b6ce5f3/160fb33d/WhatsAppImage2022-03-31at7_01_21AM2.jpeg),WhatsApp Image 2022-03-31 at 7_01_21 AM.jpeg (https://dl.airtable.com/.attachments/a729aeb773c0bc2b9233b32a5038fe26/24aa532e/WhatsAppImage2022-03-31at7_01_21AM.jpeg),WhatsApp Image 2022-03-31 at 7_01_22 AM (1).jpeg (https://dl.airtable.com/.attachments/040a3dfb21bcd3d6cb577878224dea24/19a0419f/WhatsAppImage2022-03-31at7_01_22AM1.jpeg),WhatsApp Image 2022-03-31 at 7_01_22 AM (2).jpeg (https://dl.airtable.com/.attachments/f79b539a78c3886af6e2d4994845ab6f/a249b8f3/WhatsAppImage2022-03-31at7_01_22AM2.jpeg),WhatsApp Image 2022-03-31 at 7_01_22 AM (3).jpeg (https://dl.airtable.com/.attachments/89688e4c7d1c867f226755997708deab/bdd4bf2d/WhatsAppImage2022-03-31at7_01_22AM3.jpeg),WhatsApp Image 2022-03-31 at 7_01_22 AM (4).jpeg (https://dl.airtable.com/.attachments/d4b8c50f184422e2aabe4d82f3533a04/33ae926c/WhatsAppImage2022-03-31at7_01_22AM4.jpeg),WhatsApp Image 2022-03-31 at 7_01_22 AM.jpeg (https://dl.airtable.com/.attachments/5c37cdbb8f2512e304c9e994d5ecf7fe/2f08970a/WhatsAppImage2022-03-31at7_01_22AM.jpeg),WhatsApp Image 2022-03-31 at 7_01_23 AM.jpeg (https://dl.airtable.com/.attachments/8c36dec17a402f49c22ec0055659a02b/d5aeb0ec/WhatsAppImage2022-03-31at7_01_23AM.jpeg)"
TALLER DE INSPIRACIÓN SOLE + WLH,marzo ,31,31,Vereda El Turco,Santander de Quilichao,Cauca y Valle del Cauca,,Los talleres de inspiración SOLE son talleres para aquellos quienes deseen ser embajadores en una de las comunidades focalizadas de WLH. Ellos durante este espacio recibirán el entrenamiento para poder ser embajadores y aSOLEAR su comunidad a través de la metodología de autoaprendizaje.,,cerrado,
Primer SOLE El Turco,marzo ,31,31,Vereda El Turco,Santander de Quilichao,Cauca y Valle del Cauca,Agenda cultural WLH,Los SOLES son espacios abiertos a cualquier persona de la comunidad interesada en aprender a través de Grandes preguntas y el uso de Internet. Está a cargo de un embajador y cada sesión cuenta con un Capitán y una abuelita conectada remotamente. Puedes llevar algo de comer para compartir con los demás participantes. Bienvenidos.,,abierto,"WhatsApp Image 2022-03-31 at 5_27_25 PM.jpeg (https://dl.airtable.com/.attachments/e945e9e97e52dc2fda91aaf0780422c9/ce6944f5/WhatsAppImage2022-03-31at5_27_25PM.jpeg),WhatsApp Image 2022-03-31 at 5_27_26 PM (1).jpeg (https://dl.airtable.com/.attachments/5f12d18a6061dc5d397bf5b6884f0300/33a019b8/WhatsAppImage2022-03-31at5_27_26PM1.jpeg),WhatsApp Image 2022-03-31 at 5_27_26 PM.jpeg (https://dl.airtable.com/.attachments/e6f2fe0dc6dbffceaf74350e14062f66/ba4f4367/WhatsAppImage2022-03-31at5_27_26PM.jpeg),WhatsApp Image 2022-03-31 at 5_27_27 PM (1).jpeg (https://dl.airtable.com/.attachments/c44ebfbf0d979d275348266ccb926554/fa33b53e/WhatsAppImage2022-03-31at5_27_27PM1.jpeg),WhatsApp Image 2022-03-31 at 5_27_27 PM.jpeg (https://dl.airtable.com/.attachments/7519e243a165f5c8be53f6b2f20bd363/de788380/WhatsAppImage2022-03-31at5_27_27PM.jpeg)"
Encuentro diálogico con grupos de mujeres y hombres,marzo ,28,31,Vereda El Banco,Anorí,Bajo Cauca y Nordeste Antioqueño,Conmemoración internacional,Realización de espacios diálogicos para la sanación colectiva en el marco de la estrategia Hilando Juntos. Sesión SENTIR. Se realizá conforme a la metodologia construida desde la estrategia. ,Hilando Juntos,cerrado,
Conmemoración del mes de la mujer ,marzo ,31,31,Corregimiento Las Mercedes y vereda Casa de Piedra,San Jacinto,Montes de María,Conmemoración internacional,"Se conmemorará el mes de la  mujer con un partido de futbol femenino para derrumbar estereotipos de género, una muestra de los productos hechos a mano que realizan las mujeres de la comunidad y el compartir de un mote de queso, plato típico de la región para diálogar sobre el liderazgo femenino.",Culturales y recreativas,abierto,"WhatsApp Image 2022-03-31 at 6_16_28 PM.jpeg (https://dl.airtable.com/.attachments/110cc974b3047905dbd88a600a71c7f0/579ef2c4/WhatsAppImage2022-03-31at6_16_28PM.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (1).jpeg (https://dl.airtable.com/.attachments/727b2163565ab4937988251b8f06961a/fee2d096/WhatsAppImage2022-03-31at6_16_29PM1.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (7).jpeg (https://dl.airtable.com/.attachments/775c409efc92dcd77f9e5766eb77b3c2/cfec97d4/WhatsAppImage2022-03-31at6_16_29PM7.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM.jpeg (https://dl.airtable.com/.attachments/1cfbf352015851ff38a2600ce48957c1/56613a54/WhatsAppImage2022-03-31at6_16_29PM.jpeg),WhatsApp Image 2022-03-31 at 6_18_21 PM.jpeg (https://dl.airtable.com/.attachments/417b25e659eb839db9a72ede1a6ee43c/f2bd2b72/WhatsAppImage2022-03-31at6_18_21PM.jpeg),WhatsApp Image 2022-03-31 at 6_18_22 PM (1).jpeg (https://dl.airtable.com/.attachments/481a8aa6dc5a852e9ca7ad27d0a0522a/fb43d9de/WhatsAppImage2022-03-31at6_18_22PM1.jpeg)"
"Jornadas lúdicas y deportivas ""Recreación incluyente para todos""",marzo ,31,31,Corregimiento Las Mercedes y vereda Casa de Piedra,San Jacinto,Montes de María,Conmemoración internacional,Jornadas de futbol femenino y masculino para promover el interes comunitario en actividades fisicas y recreativas para la integración.,Deportiva,cerrado,"WhatsApp Image 2022-03-31 at 6_16_29 PM (2).jpeg (https://dl.airtable.com/.attachments/91c2d7db5e74a5260f69c496700b9574/55eea9ff/WhatsAppImage2022-03-31at6_16_29PM2.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (3).jpeg (https://dl.airtable.com/.attachments/281c2a38d800bd77e98c81aed23682cd/c6cc2685/WhatsAppImage2022-03-31at6_16_29PM3.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (4).jpeg (https://dl.airtable.com/.attachments/47feb577ddab6a9ec70a89be9a1172bc/d90a03de/WhatsAppImage2022-03-31at6_16_29PM4.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (5).jpeg (https://dl.airtable.com/.attachments/116a0a4acd41e04309f9c5ea20cceae2/97990ef1/WhatsAppImage2022-03-31at6_16_29PM5.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (6).jpeg (https://dl.airtable.com/.attachments/a746c9a1409afc6a7ad543f855233eec/87dfb679/WhatsAppImage2022-03-31at6_16_29PM6.jpeg)"
TALLER DE INSPIRACIÓN SOLE + WLH,abril,1,1,Kwet Wala,Pradera,Cauca y Valle del Cauca,Conmemoración nacional,Los talleres de inspiración SOLE son talleres para aquellos quienes deseen ser embajadores en una de las comunidades focalizadas de WLH. Ellos durante este espacio recibirán el entrenamiento para poder ser embajadores y aSOLEAR su comunidad a través de la metodología de autoaprendizaje.,Formación,cerrado,"WhatsApp Image 2022-03-31 at 6_16_29 PM (2).jpeg (https://dl.airtable.com/.attachments/40115d216e0f018bf0af78e3a04b599d/54e73143/WhatsAppImage2022-03-31at6_16_29PM2.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (6).jpeg (https://dl.airtable.com/.attachments/db6e38576272d1155c9aaf41ab416720/7fdd1de0/WhatsAppImage2022-03-31at6_16_29PM6.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (3).jpeg (https://dl.airtable.com/.attachments/7c72344c5e3e64fa8798f053b5fadec6/7fe3f919/WhatsAppImage2022-03-31at6_16_29PM3.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (5).jpeg (https://dl.airtable.com/.attachments/81df8682d6a90d57dfdf265defb2f769/340be37b/WhatsAppImage2022-03-31at6_16_29PM5.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (4).jpeg (https://dl.airtable.com/.attachments/d619de920f65cc89bd6bb6ba420295c9/141ef0a6/WhatsAppImage2022-03-31at6_16_29PM4.jpeg)"
Primer Sole Resguardo Kewt-Wala,abril,1,1,Kwet Wala,Pradera,Cauca y Valle del Cauca,Agenda cultural WLH,Los SOLES son espacios abiertos a cualquier persona de la comunidad interesada en aprender a través de Grandes preguntas y el uso de Internet. Está a cargo de un embajador y cada sesión cuenta con un Capitán y una abuelita conectada remotamente. Puedes llevar algo de comer para compartir con los demás participantes. Bienvenidos.,,abierto,
